,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
ENDOD1,1.34149498787297e-12,6.31265277291633e-10,7.142761415717089e-12,1.45892069944327e-14,3.90651628647323e-08,2.22404707950848e-15,3.8005467566874597e-11,1.27982117922839e-08
STAP1,9.74636117366114e-98,3.75797022169492e-100,1.6549337181675401e-52,8.16705114907413e-65,1.4498155369717699e-77,1.88599311427708e-79,2.9691967143006097e-69,3.0394144605443e-69
DCBLD1,8.84807907517326e-05,0.13600354723687,0.0002536730368843,0.0002070268765674,0.0014064710952804,0.0002704471151113,0.0013791236248047,0.0410083628792655
STAT2,6.36922517014037e-57,2.9192221038342696e-36,7.509425751692491e-60,2.56612313028824e-62,2.57167045591339e-59,1.8469631121377198e-49,1.7622979235855e-50,3.4293425679247895e-49
SPTLC2,1.06783946060207e-19,5.255901066008951e-15,8.28024952059432e-13,1.3181865850385e-14,4.99152137493281e-18,9.68814019937168e-22,8.57107377910969e-26,1.58412074706236e-13
HYCC1,3.4182029703408804e-25,2.94296014738842e-18,2.9788200792325e-18,1.2174354443273702e-19,3.49246782528078e-19,4.60767277933078e-23,5.48928178818995e-22,2.1372856264270402e-14
IGFBP4,1.88142074120515e-23,7.80988144117701e-22,4.66675131604187e-19,1.0386718179986e-26,9.112463236069391e-25,1.93940111169809e-26,7.3339771513229e-24,8.7080738965251e-18
PML,3.39694767277492e-58,9.253031217202689e-43,1.17108785315227e-54,4.1926492988368497e-50,2.81270900832779e-71,4.46126759264972e-60,3.8723067343640996e-50,2.35593174355655e-43
RAB29,8.73990806370974e-08,3.59183767722252e-05,0.0001536621916994,1.11655482233703e-05,2.09523641073861e-09,2.18945868896095e-08,0.0003114530186589,8.5494897497105e-06
LOC100419583,8.86823545096811e-06,0.0038421619003702,2.15089182537404e-10,1.78050783486211e-09,0.0003490861778003,0.0003731049917842,2.0488909016341e-06,0.000298230656304
NMI,1.31950527862207e-39,4.47698782809514e-30,1.1149183474710399e-42,2.68559342862384e-47,7.50734936276805e-29,2.9295106607590596e-40,5.23039679254543e-40,4.9115338034588594e-36
